Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-2969	0.00602635521920608	0.0951280891532987	0.00522626514840308	0.0286130989242815	0	0.192477586596388	0.0173417198383583	0.0703436968207565	0.0093835000182845	0.0441585570871175	0	0.041110493297019	0.0493147695378639	0.00698436868481557	0.0622684479200304	0.210367366813285	0.0180028778798168	0	0.143252807061075	0	0	0	0	0.602453573134831	0.826339033245986
MB-2971	0.0217452679015637	0.0520787676591661	0.0238429462214098	0.127813572439441	0	0.0339250798685376	0.000129920652845279	0.132780592393505	0	0.0933465875315409	0	0.0739692218889811	0.0169242239272597	0.0220605438429692	0.0601544714690848	0.197216588486351	0.00985557419369847	0	0.0408266350180834	0.0875426962764068	0	0.00578731022915618	0	0.579363074472555	0.825869254864753
MB-2990	0.0070994752997846	0.0679507430672327	0.0344754897425515	0.0755438460533788	0	0.0837642735517962	0	0.113604293369153	0.0467656394253673	0.0529133490485135	0.0180034926883278	0.0109815978153409	0.00673287354007339	0.122495020064663	0.0609365204000806	0.195271829727458	0.00831829727790328	0.00247968071293445	0.0625008427199457	0.0258277641314737	0.00191170568258195	0.00242326568143927	0	0.539596228571021	0.852769642042605
MB-3005	0.0233711632923004	0.0223211951909956	0.0113514714512229	0.0970456205163002	0	0.133034545306582	0.00111446317349003	0.0979566772556128	0.0230622928016649	0.0862148405447877	0	0.0301336462390193	0.0335996319162622	0.10922268954096	0.0901481867044278	0.19830151862923	0	0	0.0268530588320827	0.014678666832904	0	0.00159033177215765	0	0.65420736944551	0.788118681373704
MB-3007	0.0214576686928042	0.0272317989249911	0.0151171843882023	0.0657882432760746	0	0.15339898728073	0.0123581118809336	0.0772773391103974	0.00367218383250283	0.0267023375079325	0.00367066924940865	0.034241516569356	0.01530784142772	0.121053813750687	0.0971064907149182	0.197231926364904	0.000324042017507619	0.00825762902620176	0.119802215984729	0	0	0	0	0.679841081070101	0.781929057210829
MB-3064	0.0118456388179339	0.0455525048026415	0.0696977368892766	0.0813588414740078	0	0.111850608348941	0	0.0616251713659301	0.00815936940205537	0.0314009234970072	0	0.0396830495568981	0.0233340259468542	0.0694836523756072	0.0593774626903692	0.161259657607391	0.00632269652078444	0.00845152340219348	0.203630738304095	0.00696639899801395	0	0	0	0.723879769389148	0.764032704561748
MB-3088	0.0247764141899676	0.0563261333507548	0.0289650595513417	0.0684446709613421	0	0.044411428918623	0	0.122210502001379	0.0348349358992323	0.0352674059214508	0.00324772215817193	0.00940945988260661	0	0.280241237665898	0.0617452542843171	0.148823552579397	0.0139362343240221	0	0.0586590017644965	0	0.008700986547	0	0	0.52282924603112	0.856270094627182
MB-3092	0.0475735614802546	0.0384567282325098	0.0149849291525179	0.118990415264248	0	0.0610947085142265	0.0157352547665663	0.0868263781573558	0.0626260009121317	0	0.0636854393241464	0	0.0339643752641952	0	0.097171411642323	0.255528242905418	0.0185946054726313	0	0.0800451175625317	0	0.00472283134894403	0	0	0.450852871090341	0.893385072281569
MB-3121	0	0.0710006976903382	0.00360631581291398	0.0809267819639013	0	0.0764999337980126	0.0373608078843132	0.0564737532137566	0.0145246134461241	0.0451603736599144	0.0244612193961883	0.0133132768460369	0.0348284706347447	0.0920938329568653	0.0598054352879577	0.233606524996327	0.00603506698835623	0	0.137439085136301	0.0128638102879487	0	0	0	0.630559929010151	0.811314306866639
MB-3171	0.0128435557566401	0.0442548315325536	0.0370857126560805	0.0903761426094401	0	0.199834582162884	0.00847027677420367	0.0558621038240555	0.000318987965315622	0.0734286227098504	0	0.0567531321362261	0.0314550663783938	0	0.117943090367306	0.18103522782126	0.0169803818534375	0	0.0291938084612323	0.0305024471132902	0.0134215130388596	0.000240516838970362	0	0.635457888780313	0.796043282020301
MB-3228	0.0230308846985093	0.0232906391927046	0.0253391376467444	0.0801986111438141	0	0.198051902230918	0	0.0413461484965404	0	0.00515711478619145	0.0230269297989591	0.00768515335883912	0.0066243903536599	0.0819136322945068	0.0450626783793542	0.193662813786373	0	0.000633413772922557	0.236079129543403	0.00845359862679725	0	0.000443821889763119	0	0.614253691200416	0.815239658816181
MB-3295	0.0141407429328289	0.0588458880061102	0.0186832100655645	0.0340264619163804	0	0.143198229777353	0.0137209096269153	0.0781590053249144	0.00196558030462612	0.0635212875119054	0	0.00800450029592124	0.0293794489007374	0.0092859356751533	0.0417664400300921	0.166676775169812	0.0530107674584161	0.00877855927254262	0.256836257730727	0	0	0	0	0.638212535841115	0.807599713366
MB-3303	0	0.0617497211831777	0.0506279503952732	0.0320048183832219	0	0.012847280996665	0.0187698787382847	0.0718785596089571	0.0181155801315005	0.0596795896934889	0	0.0347662311451104	0.0146952469282826	0.258013930311385	0.0554769517215252	0.270212604267629	0	0	0.041161656495499	0	0	0	0	0.848049573955604	0.656725322601244
MB-3341	0.0240444171186907	0.0393871069632254	0.0600078924230398	0.0772271353867754	0	0.117749626678838	0	0.12520003359144	0.00232328798275131	0	0	0.0412488958014698	0.0142108464063126	0.0318100039868905	0.0445354522728548	0.192462126308075	0.00525686076712002	0.0196317408546573	0.189866687110259	0.00473051255059594	0	0.0103073737970038	0	0.602664919058731	0.826189279896583
MB-3388	0	0.0501588376238098	0.00677417643103028	0.0820711161553322	0	0.0930968885658072	0.0451833259104109	0.101038264871286	0.00644510884367326	0.0132115196731965	0	0.0832328442207794	0.0344981108700545	0.0566120192201014	0.0959863888030643	0.137908416476199	0	0.00450254973379056	0.189280432601465	0	0	0	0	0.69649079623184	0.771083067082643
MB-3430	0.0416040236985412	0.0417097954477661	0.0534084051693069	0.0430334349575689	0	0.0927962753915945	0	0.059703118329012	0.0105550481927399	0	0	0.0433070540111455	0.014225371454479	0.105206501272559	0.0394403733927269	0.106256771598936	0	0.0200805826510319	0.328673244432592	0	0	0	0	0.692191750339025	0.767086667988055
MB-3437	0.0259402390429299	0.0328068644193431	0.0177810534571045	0.0697207493390723	0	0.104109572022096	0	0.11855713484786	0.0198763419373566	0.00525601914929423	0.0123517773107711	0.040140998081406	0.0215442555672869	0.0299529285891777	0.075398933055561	0.255350677375997	0.0086415274228222	0	0	0.14589185330539	0.014999677063672	0.00167939801285964	0	0.476987423198149	0.879403549175086
MB-3439	0.0710777311704798	0	0.259628606252393	0.0625352367333538	0	0.178113536749705	0.0147956198095236	0.0461957563215734	0	0.0231979396172605	0.0145049664859983	0	0.0218751142852828	0.0331726059686243	0.0437428664945732	0.166051808178007	0.000429312499255962	0.0010698972360394	0.0461487090719004	0.00925280585354774	0	0.00820748727248213	0	0.781600908170297	0.695084876188178
MB-3450	0.0119473824885634	0.0738810866926266	0.0198628458737451	0.0283199848745319	0	0.0854795652106027	0.0270328554391538	0.0793864108804962	0	0.00879642028917183	0.0474127627852513	0	0.0277403225257456	0.0303093476949901	0.0601129777858554	0.259033853671442	0.00128546956328245	0.0445753972831498	0.156452452220553	0.0218052660819245	0	0.0165655986389153	0	0.525424165632287	0.861907149561287
MB-3490	0.0338664759563198	0.0245027922481682	0.00648288777329392	0.0855704589010559	0	0.0166439603851944	0.0341385952991595	0.105238403995784	0.063393580051236	0.0584573564171458	0	0.0277671721518062	0	0.214776973118382	0.0767005272773075	0.182741066222022	0.0138537007994251	0	0.0424984469424377	0.0118118235306524	0.000607108175195318	0.000948670755414789	0	0.817857979999901	0.693997282967925
MB-3492	0.0273464120550522	0.060714646123227	0.028032742430651	0.0577773973462918	0	0.0556477974824019	0.00658298495115003	0.121152186911453	0.0407369425290829	0.0635373188880949	0.00101302689525584	0.0195566780230908	0.0235604870894792	0.151395824955827	0.140919893740166	0.143557960432958	0	0.0200172203174291	0.0293259671228733	0.00912451270551593	0	0	0	0.770807869805989	0.718689472326679
MB-3510	0.0106139408381891	0.0437661270187055	0.00975350067361391	0.067887387479342	0	0.101489347790554	0	0.0667943786853401	0.0436884894448814	0	0.000413556038589653	0.0351800958624657	0.00467254070498355	0.14814863533183	0.0439825029264918	0.177287189981738	0.000294300396919399	0.00626137296769628	0.19975759257639	0.0367939523835052	0	0.0032150888987646	0	0.732786118054023	0.749858390756433
