Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-0328	0	0.0746217050526481	0.00268387867293623	0.092945524047282	0	0.135161110516909	0.000223519936365833	0.0738684531469836	0.0156837828626377	0.00427306654727992	0	0.0448611214123602	0.0265815341635644	0.154058361186497	0.0881316600211142	0.178815781321845	0.000688073537089064	0.00473851215970533	0.0498513690107866	0.0528125464039957	0	0	0	0.574216158186246	0.831789298011964
MB-0336	0.00534175777725856	0.059284794664271	0.0465159914454085	0.0802028133125047	0	0.0655270183499671	0	0.0629829436214	0.0170987931359639	0.0196496797326512	0	0.0379991222428032	0.0196614543862621	0.144443356973791	0.0535670512515597	0.290910026316588	0	0	0.0108205711847018	0.075957582089266	0.00462402953336281	0.00541301398224101	0	0.613467215262517	0.809447669562874
MB-0348	0	0.106889640671627	0.00903088532632615	0.0140007619930345	0	0.0830531328846078	0	0.0668392116529123	0.00727005880623862	0.0323751280497457	0.0389023077905387	0	0.00619594992834101	0.250336752870299	0.0436099280776659	0.266116500163112	0	0	0	0.0702193998284147	0.00516034195713597	0	0	0.796787588946712	0.689054186762818
MB-0358	0.0233015714533724	0.0426463171677512	0.0251476006366256	0.13272985444685	0	0.117579624374057	0.00882009532729945	0.0565822754306401	0	0.0507035990344617	0	0.0598631112979357	0.0323079521090628	0.15050481381038	0.0992995632684302	0.130376367252175	4.42616361283686e-05	0	0.046994700011515	0.0230982927433154	0	0	0	0.675141951864235	0.775554265737604
MB-0359	0.0873190533768204	0.0267806658266324	0.00771225658357262	0.1627447670739	0	0.113111724665435	0.0786902595210308	0.072153049908803	0.00852477935085831	0.0350335467275575	0.0242993078962835	0	0.0301925300788687	0.0724746794921915	0.0995042392790843	0.136775952603855	0.00726600631552688	0	0.0339311039339658	0.0034860773656143	0	0	0	0.67873239973819	0.779257040563766
MB-0360	0.0322279533015266	0.0045750831372365	0.00210145480502141	0.0326739990337579	0	0.108441530780219	0.0121907150540447	0.0672398562937493	0.0228918311636998	0.00693585947732404	0.0209195804666561	0.0140990131342622	0.108197395613101	0.00109839065349867	0.0700826522669158	0.355499911836319	0.0196495595314033	0	0.0714695108513926	0	0.0445720049970245	0.00513369760284779	0	0.483699348313198	0.877995020709627
MB-0366	0.00115063064047343	0.0673868675249003	0.0128181872129567	0.0497421774517882	0	0.102892603815698	0	0.101203119580234	0.00841206523186146	0.0581451987820425	0.00727342921749885	0.016899447821844	0.00363486740928464	0.175254900325572	0.0607058869946949	0.226407611224047	0	0.0108548851668164	0.0416386387621827	0.0555794828381041	0	0	0	0.722335078854286	0.752148796677013
MB-0386	0.0357371348001983	0.039626477457681	0.00384630601824501	0.0778817274227592	0	0.0583791748271022	0	0.0898770696344126	0.0125056321388568	0.0460920624504424	0	0.0444704857144528	0.00850373859915514	0.116203603075528	0.0522182576993228	0.301254939866105	0	0	0.033319750731271	0.076781808015645	0.000718188557378004	0.0025836429914443	0	0.751388908765304	0.731768396838599
MB-0392	0.0170096544249421	0.0574759490321462	0.0118360861895659	0.130919266139958	0	0.0892696816652181	0.0424581489611559	0.0624138471696863	0.00965343481718474	0.0243030169478311	0	0.0290128885444507	0.112429256393178	0.0148514502100024	0.0709351394434747	0.153841020516939	0.021567632760585	0.0213062769470363	0.130717249836645	0	0	0	0	0.613489423560924	0.822932776615847
MB-0397	0.0219134267114915	0.0374846500168136	0.0242327170612715	0.0406297470956828	0	0.116793416448443	0.0372870792968876	0.0405481237899231	0	0.0127620936363908	0	0.0349239402805291	0.205726891408819	0.0397456357833402	0.0272518980376125	0.0851230478434103	0.0134549349598885	0.0215227792548954	0.196241636847111	0	0	0.0443579815274902	0	0.457115087981988	0.891461954790369
MB-0402	0	0.116628220450973	0.00557624521732002	0.0435512320208398	0	0.0952470552266923	0.00954983091039064	0.0634464260225952	0	0.0397541659911816	0	0.0415916314462797	0.0920445904792804	0.0140061937648335	0.0508163948693078	0.210096828177634	0.0171925192975299	0	0.176751382134995	0.0237472839901468	0	0	0	0.66498160243854	0.795040387649469
MB-0404	0.0407306663246865	0	0.0394345145287453	0.0547938577814687	0	0.133177860036347	0	0.0585568550468235	0.00612572836095028	0.0399862933267984	0	0.0195922124300642	0.0213381833203681	0.0886855958269822	0.0541446458762767	0.251752054577354	0.0103442925360542	0.00379787924937265	0.133568286718334	0.0390721154210265	0	0.00489895863834695	0	0.625535601801354	0.811577298164395
MB-0408	0.0063302332898828	0.051700600813495	0.0843644892791855	0.066625419207069	0	0.119964287203288	0.00463106238548558	0.0631432928180789	0.0369858966333367	0.0443623815185824	0	0.0241066843904138	0.0202103103893459	0.11334002230495	0.0881862192221378	0.116103315691825	0.00591971474155831	0	0.154026070111365	0	0	0	0	0.718113241233528	0.766930114740382
MB-0419	0.0345467732604308	0.0113556445772702	0.00427506801044615	0.0268430653462205	0	0.080742951720611	0	0.0859134882539295	0.00770304525254796	0.0106465691211346	0	0.0602739821263761	0.0122690719941214	0.0683992777338529	0.0380234303717513	0.28990745267305	0	0.00699130393353969	0.205219876742029	0.0471752591388244	0	0.00971373974386402	0	0.636592343280378	0.797722868158119
MB-0422	0.0190915369213059	0.0515232128362826	0.00753225182858994	0.0997404653172191	0	0.0433093034387873	0	0.078226889979462	0	0.0599396544560386	0	0.0593857710951004	0.0175067138070075	0.0887377469640553	0.0516411657806953	0.218900666687091	0	0.00458613567629816	0.0315136480713736	0.164189491416754	0	0.00417534572393953	0	0.745015691069603	0.725742013687762
MB-0423	0.0185803390522447	0.0563257416177227	0.0315727212921503	0.11046472849282	0	0.0879295335249425	0.000407790323660615	0.0764995372550228	0.00437438783952145	0.103629500759897	0	0.000694448273991223	0.000258730412715843	0.106960457225381	0.0532032533036647	0.235233137437655	0.00188446310254147	0	0.0760445936164398	0.0291753474284075	0	0.00676128904122102	0	0.75916369868258	0.738428665438989
MB-0426	0.01281154789853	0.0695240889372382	0.0333499476915296	0.0535860631297056	0	0.170013583816683	0	0.0756914201507626	0	0.0039128422374556	0.024461254554313	0.0225544999038358	0.0404515819827126	0.0799927379106088	0.0450775737910389	0.22202282808976	0.0233027948484737	0.00117170728320682	0.120718271238289	0	0	0.00135725653585665	0	0.56071577420414	0.846907022272977
MB-0439	0.0515455374667905	0	0	0.0400154288592784	0	0.101003464752199	0	0.062549363750798	0.0334306915825273	0	0.0518430358374469	0.0160100609046125	0.0204472546412003	0.224520270942836	0.0493245854990251	0.282900072094108	0	0	0.0342060594629506	0.032204174206228	0	0	0	0.702572276314064	0.753728522838404
MB-0443	0.0287309261579092	0.0661621862570621	0.0274536012194002	0.234238152044485	0	0.136137093471037	0.0229790586929256	0.0425489527402464	0	0.0749274519396882	0	0.0364141943943976	0.0402777168065643	0.0389052853907448	0.0798127045993673	0.113216085646372	0.00991577407240089	0.00252316479543541	0.0457576517719647	0	0	0	0	0.72785344928538	0.738761796409244
MB-0449	0.00206761562645206	0.0702775313931724	0.0186171340055376	0.0775286221826833	0	0.144637035348347	0	0.0808810144835721	0	0.0614079543569199	0	0.0114344055783968	0.00659026919880983	0.139554914502191	0.0419709654609988	0.201360688395868	0.00186529975206187	0	0.127979301164343	0.0138272485506466	0	0	0	0.716764354651574	0.764331173142604
MB-0454	0.0204545745015256	0.0284731327153307	0.00980774415435081	0.0296656013178678	0	0.124627685473301	0	0.0809760956411944	0.0383115074919781	0.0094568417601846	0	0.0572596682825928	0.0676273069985948	0.0421894468018316	0.0555665718405436	0.329265346173821	0.00204556087811808	0	0.00648423721801151	0.0708278747910853	0.026960803959668	0	0	0.458848797211164	0.888556078475163
MB-0455	0.0272603425150284	0.122191436899199	0.0379161003938846	0.174166453846234	0	0.0198344482449578	0.0412559560898439	0.0921418927903143	0	0.0332327200209766	0	0.0373618679682741	0.0021240770780303	0.0858121525899984	0.0938119282115362	0.133758517630656	0.0355951337137879	0	0.0635369720072792	0	0	0	0	0.555211154320962	0.843297406185298
MB-0486	0.0127038704960045	0.0267986825322396	0.00998737849300324	0.177919499012043	0	0.0754587998204148	0	0.0755248349751868	0	0.0962866102962037	0	0.0588561761127281	0.033960152664735	0	0.0654836475091937	0.231452711696789	0.00476895785658159	0	0.00642881881623786	0.117730106513524	0	0.00663975320511545	0	0.553575034298316	0.837081648638389
MB-0496	0.0061436517213849	0.0542448255144794	0.0493639164618453	0.0663327865388317	0	0.136079883084193	0.00481479674614004	0.0530279260544794	0	0.0448060152614709	0.00278288136119338	0.0133958934469142	0.103351160138281	0	0.053069114712125	0.194058434650146	0.00256553566294928	0.0149690388983185	0.146057496289396	0.0549366434578517	0	0	0	0.61470101808065	0.819200784645701
MB-0503	0	0.0721351046092114	0.0714601452505067	0.0782691666404176	0	0.112949643773233	0	0.0809406167793841	0	0.0315563510609506	0	0.0258349691208529	0.0216198188987914	0.0873889875134888	0.0704815252805312	0.149013041998503	0	0	0.0740276512427998	0.124187313403183	0	0.000135664428146333	0	0.70404789345516	0.763797538596457
MB-0504	0.0065510031089973	0.0537853742379574	0.0560430518559188	0.026518974863422	0	0.104237730342749	0.0104915190352305	0.0627069174137419	0.0171059228336187	0.0399058026280281	0	0.0451225684503126	0.0488766777239531	0	0.0502737749748105	0.188372124310943	0.00553221718932345	0.0164776048143911	0.257072652470087	0.00402585194031122	0	0.00690023180620397	0	0.664240155675599	0.792363579564751
MB-0509	0.0562185986339097	0.075599153231482	0	0.102756383705458	0.0395076798483033	0.182267532790047	0.0228722736681739	0.0465300900349984	0.00746296538119483	0	0	0.0580975418393693	0.0345545808657207	0.0539684260315501	0.122665366262219	0.077540512818794	0.00695633252478508	0.027825704528663	0.0851768578353315	0	0	0	0	0.678787263441216	0.773789130745079
MB-0510	0	0.0668229801432479	0.0421421803097489	0.0863901096152881	0	0.155561476869599	0	0.0565852565965555	0	0.0140225604713339	0	0.0222012309429731	0.0472787622796406	0.0358653332636495	0.0569851646395581	0.192144087263147	0.0051559418573833	0	0.197567521627417	0.0212773941204578	0	0	0	0.648371977447677	0.8022413464514
MB-0511	0.0171382750536882	0.0558393780109137	0.0170344965216871	0.0716135027956677	0	0.094967296066481	0	0.0721007189205463	0	0	0.000196030150392604	0.0280567883852425	0.0254741706521096	0.0576330527190564	0.0694255348088073	0.239226554141135	0.0103155586579624	0	0.221478560458279	0.018703641182945	0	0.000796441475086284	0	0.730254261289089	0.755591805879136
MB-0512	0.013594847132585	0.0480999111683203	0.0718120232784669	0.0643803871546167	0	0.0869108372470014	0.0105835183087102	0.0590457191227697	0.019583424189742	0.035340573800978	0.0127350796862476	0	0.0117130100644097	0.136006097684786	0.0602389804514166	0.195913509761438	0.00874811309344121	0	0.162583324995482	0	0	0.0027106428595885	0	0.618956827621922	0.817340900194539
