"Treatment_Group","n_pairs","mean_pre","mean_post","median_pre","median_post","p_value_wilcox","p_value_ttest","effect_size","p_value","significance","cell_type","cell_label","category"
"TPA",31,0.00690209555888472,0.0052875941360786,0.00394934778084934,0.00301342880370125,0.741259697119932,0.298667484927104,-23.3914672584887,0.741259697119932,"ns","Monocytes","Monocytes","innate"
"Placebo",29,0.00448927334099366,0.00632697685361567,0,0,0.0975530937032685,0.447565039691421,40.9354337113108,0.0975530937032685,".","Monocytes","Monocytes","innate"
"TPA",31,0.105249183104229,0.0978965636811153,0.0996932610139678,0.103738185898014,0.327149596065283,0.519194121750304,-6.98591590571504,0.327149596065283,"ns","Macrophages_M0","M0 Macrophages","innate"
"Placebo",29,0.10077003005028,0.12469252807246,0.0981221034281983,0.112587096977122,0.454878509044647,0.196359574872301,23.7396952350253,0.454878509044647,"ns","Macrophages_M0","M0 Macrophages","innate"
"TPA",31,0.036742847749982,0.0338434112722915,0.0309534065378172,0.029863639317328,0.356962121091783,0.29216984756453,-7.89115883836716,0.356962121091783,"ns","Macrophages_M1","M1 Macrophages","innate"
"Placebo",29,0.0336175788601016,0.0331905393378773,0.0294856839155549,0.0289681800728849,0.701328847557306,0.843459903220186,-1.27028637012047,0.701328847557306,"ns","Macrophages_M1","M1 Macrophages","innate"
"TPA",31,0.222098944009862,0.20331361767136,0.222288363859145,0.21104807124431,0.0246456209570169,0.0111628794227339,-8.45808899373625,0.0246456209570169,"*","Macrophages_M2","M2 Macrophages","innate"
"Placebo",29,0.234127564977317,0.220643238992342,0.239982231353591,0.22319623002195,0.335733715444803,0.210077321506743,-5.75939274227734,0.335733715444803,"ns","Macrophages_M2","M2 Macrophages","innate"
"TPA",31,0.0113039158830307,0.0102744875345992,0.00954920858838696,0.00703352136673854,0.387078282608515,0.615247131485886,-9.10682951893488,0.387078282608515,"ns","Dendritic_cells_resting","Resting Dendritic cells","innate"
"Placebo",29,0.0116186539654192,0.0101626404888562,0.00810552191271197,0.00488910321624612,0.34262698961062,0.587280144849501,-12.5316881017074,0.34262698961062,"ns","Dendritic_cells_resting","Resting Dendritic cells","innate"
"TPA",31,0.00259196009611235,0.00068328489927926,0,0,0.102917539402853,0.104302680341852,-73.6382940345374,0.102917539402853,"ns","Dendritic_cells_activated","Activated Dendritic cells","innate"
"Placebo",29,0.000477849175642887,0.000553507647516512,0,0,0.905695442034309,0.873091863500887,15.8331280517196,0.905695442034309,"ns","Dendritic_cells_activated","Activated Dendritic cells","innate"
"TPA",31,0.0970289428221817,0.0531681206387475,0.0984025632602785,0.0393415823525309,0.00793642896747733,0.00467428228301062,-45.2038545486525,0.00793642896747733,"**","Mast_cells_resting","Resting Mast cells","innate"
"Placebo",29,0.0817637710361497,0.0410084471404299,0.0617259775111819,0.00447764965012038,0.00854558053412826,0.0067408295965183,-49.8452106345497,0.00854558053412826,"**","Mast_cells_resting","Resting Mast cells","innate"
"TPA",31,0.0798067032052184,0.146280697501992,0.0809940727272541,0.13112716800646,5.6132674217224e-05,0.000207444484463612,83.2937480525157,5.6132674217224e-05,"***","Mast_cells_activated","Activated Mast cells","innate"
"Placebo",29,0.0870824942540652,0.150793691987902,0.0889960483236588,0.137495174648389,1.38096511363983e-05,2.19091192927006e-05,73.161888941717,1.38096511363983e-05,"***","Mast_cells_activated","Activated Mast cells","innate"
"TPA",31,0.000836660730123407,0.000586038918905387,0,0,1,0.810738439987428,-29.9550106984288,1,"ns","Eosinophils","Eosinophils","innate"
"Placebo",29,0.000747207774409312,0.00145630964190871,0,0,0.504903176723131,0.4106171542669,94.9002261198321,0.504903176723131,"ns","Eosinophils","Eosinophils","innate"
"TPA",31,0.00631061311571853,0.00652129076756161,0.00449494816993206,0,0.493762736661269,0.93704983886123,3.33846566062364,0.493762736661269,"ns","Neutrophils","Neutrophils","innate"
"Placebo",29,0.00405504664623884,0.00436552113021389,0.00275527211144161,0.00149021466320964,0.47699540097961,0.832314083631169,7.65649599279019,0.47699540097961,"ns","Neutrophils","Neutrophils","innate"
