PatientID	aDC	Adipocytes	Astrocytes	B_cells	Basophils	CD4_memory_T_cells	CD4_naive_T_cells	CD4_T_cells	CD4_Tcm	CD4_Tem	CD8_naive_T_cells	CD8_T_cells	CD8_Tcm	CD8_Tem	cDC	Chondrocytes	Class_switched_memory_B_cells	CLP	CMP	DC	Endothelial_cells	Eosinophils	Epithelial_cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly_Endothelial_cells	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Megakaryocytes	Melanocytes	Memory_B_cells	MEP	Mesangial_cells	Monocytes	MPP	MSC	mv_Endothelial_cells	Myocytes	naive_B_cells	Neurons	Neutrophils	NK_cells	NKT	Osteoblast	pDC	Pericytes	Plasma_cells	Platelets	Preadipocytes	pro_B_cells	Sebocytes	Skeletal_muscle	Smooth_muscle	Tgd_cells	Th1_cells	Th2_cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
GSM3612358	0.074667914	1.56E-20	0	2.03E-19	0.004155386	8.55E-19	0	0	3.33E-18	0.051713744	1.48E-20	2.40E-20	2.23E-18	0	0.029516534	0.034756947	0.028275279	0.002886309	0.004842421	0.012531256	0.016097653	1.57E-19	0.059997337	3.77E-21	0.209629431	5.04E-19	0.000798094	0.104734741	0.179252211	0.001593014	0.005637891	0.027985405	0.035728253	0.007222795	0.006787333	0.014895167	0.001759644	7.91E-19	0.000795105	0.007232038	0.024989785	8.91E-18	0.063089223	0.005053291	0.012927715	8.93E-18	0.000163956	0.008060517	3.40E-19	0.008821983	0	0.00120076	0.095297938	0.00360333	0.006748456	0.004486719	0	0	0	0.114015203	0	8.02E-19	0.007278575	3.81E-19	0.05356953	0.112863542	0.166433072
GSM3612359	0.007145482	0.010525555	0	0	0.01932454	4.51E-20	2.62E-18	0	1.44E-18	0.025516658	0.001681315	2.14E-18	1.41E-18	0	0.006637336	0.033211799	0.030744572	0.044399457	2.94E-19	0.000715599	0.026537774	2.82E-19	0.085934189	0	0.138175899	0	4.15E-05	0.108018169	0.086485895	0.002331588	0.011621054	0.034066717	0.031064735	0.006273927	0	0.000743664	0.000907046	0	0	0.010100074	2.76E-20	9.63E-18	0.125568548	0.005551311	0.150676236	0	0.000599516	0.000440503	1.28E-18	0.007056885	0	0.003659463	0.013664743	0.006652806	1.36E-18	5.96E-18	4.71E-18	1.47E-20	0.079428789	0.178355689	3.65E-19	0	0.023845809	0.009809354	0.02348188	0.087619614	0.111101494
GSM3612360	0.051469328	0.002338608	0	0.081249237	0.044095773	0.017368109	0.007489541	0.016171948	0	0.086773259	0.008204212	0.004856005	0.01594408	3.62E-19	0	0.017857478	0.041365464	0.030825835	0.000373078	0.00065071	0.006348377	0	0.020782245	1.38E-20	0.096023779	1.15E-18	0	0.058315405	0.024042851	0.000693716	0.001428062	0.030399075	0.034807179	0.018324996	0.012139975	2.32E-20	0.000428795	0.012280084	0.021659323	0.015754859	0.003801886	2.87E-18	0.059506099	0.006342251	0.000122252	0.006009892	0	0	3.18E-18	0.023350147	0.019903263	0.003621519	0.007884777	0.019194731	0	5.06E-18	0	5.63E-20	1.03E-18	0.121404484	0.018019111	0.016620333	0.021633091	2.53E-18	0.099512557	0.052355382	0.151867939
GSM3612361	0.0102407	0.027825832	2.22E-18	0.019713765	0.065682293	0.008803867	0	0	8.42E-18	0.066884575	0.00943857	5.16E-19	0.004314275	0	0.000372281	0.00251324	0.014088024	0.057513369	1.30E-18	1.36E-20	0.012298796	1.84E-20	0.037278347	0	0.053748822	0	0	0.019912619	0.027660504	0	0.002573158	0.012634761	0.017972716	0.009405021	0.004556018	5.43E-19	0.000438347	1.52E-18	0.024318556	0.008486351	0	0	0.084293559	0.008991354	2.85E-20	0	0.001542702	6.56E-19	5.45E-18	0.023253945	0.025261399	0.001914794	1.28E-17	0.014366771	0	7.28E-19	3.17E-20	2.54E-20	1.01E-18	0.122838591	0.029050061	0.021047078	0.012254667	2.15E-19	0.02460303	0.046936725	0.071539754
GSM3612362	0.009164947	0.040955539	6.54E-19	0.020571706	0.020960562	0.000231048	7.71E-20	0.006401403	3.72E-19	0.057111439	0.013780848	0.013362372	0.006077846	0	0.030091235	0.050192649	0.009933513	0.040581993	0.00237307	0.002045496	0.016384947	0.001393268	0.037822363	0.000277406	0.253271925	0.012669331	0.000989237	0.134554862	0.046963948	0.005164333	0.002433855	0.002973221	0.008544296	0.003918535	0.007048718	0.003314164	0.002155838	6.48E-19	0.008112034	0.012469772	4.49E-19	2.67E-18	0.009188326	0.00313651	1.71E-19	5.54E-19	0.002232191	0	6.43E-19	0.015931255	0	0.004463943	0.045297322	0.01014839	0	0.02476795	0	0	0.000115679	0.17881673	1.27E-18	1.19E-18	0.002414123	0.008733827	0.035864123	0.155306205	0.191170329
GSM3612363	0.013344028	0.034690503	0	0	0	0	8.49E-19	1.24E-18	0	0.05337905	0.009833868	1.55E-19	1.57E-20	7.23E-19	0.021315589	0.029389368	3.66E-20	0.025590408	0.006154626	0.003839308	0.028086764	1.37E-05	0.068583268	4.76E-21	0.222518883	0.024559506	0.000671631	0.204347342	0.072573434	0.011828717	0.010319391	2.02E-19	0.003197482	0	0.002069402	0.000795034	0.003000523	1.53E-19	0.015315601	0.024959549	4.62E-18	0	0.071354856	0.011579604	0.004392528	0	0.001095363	0	0	0.017938078	0	0	0.03768462	0.00689149	3.03E-18	3.56E-21	2.82E-18	0	0.001152135	0.10061302	0	0	8.79E-05	0	0.003948262	0.142648075	0.146596337
GSM3612364	0.048878061	0.025969047	4.56E-18	0	0	0.001148571	4.85E-19	0.004568017	0	0.085864149	0.00032059	9.44E-20	0.010876929	0	0.012011799	0	0.05387912	0.021859915	0.00138363	0.006299526	0.0124709	0	0.014125371	0.000499744	0.158920688	0.012865172	0	0.153745194	0.066195624	0.002544424	0.002309264	0.044996119	0.054885108	0.021658031	0.006055469	0.000723421	0.001805856	0	0.042014261	0.011102189	0.003831281	0	0.106066343	0.011732717	0	2.39E-18	0	0	2.52E-19	0.035234788	0.001041577	0.002698825	0.053039782	0	1.01E-19	0	0	1.49E-19	8.12E-19	0.052736465	0.01070189	0.008255041	0.043487278	0.011141596	0.043833608	0.098680318	0.142513926
GSM3612365	0.030341374	0.095861946	0	0.054494677	0	0.028598979	5.95E-19	0.010189876	2.16E-18	0.069700052	0.002739939	0.009145151	0.035055856	0.005352512	0.158733657	0.002714923	0.062401191	0.02457574	0	0.02502653	0.052319384	5.86E-19	0	3.95E-21	0.23483852	0.055904709	0	0.268917977	0.321187136	0	0.012949115	0.223738365	0.124195769	0.159888534	0.01075223	0.001879882	0	0	0.042636322	0.008936191	0.1177697	0	0	0.032046791	0.004152457	0.000276197	3.97E-20	0.003014594	1.02E-18	4.92E-18	0	0.054468146	0.028613928	8.47E-22	3.44E-18	0.095338285	0	1.29E-19	2.76E-20	0.121027447	0.005602897	1.88E-18	0.031206296	0.030946024	0.302754082	0.191509925	0.494264008
GSM3612366	0.062764093	8.29E-20	1.47E-19	0.139977355	0.037499918	0.029173368	2.43E-18	0.018634489	0	0.051511178	0.006375607	0.025599762	0.028978537	0.004974256	0.000383492	0.015724834	0.045205204	0.040136859	0	0.010961884	0.000282957	1.57E-18	0.042635071	0.000139795	0.016211047	3.54E-18	0.000599835	0.014666797	0.106225627	0.016117174	0.000121156	0.007937013	0.021657997	4.82E-19	0.002273616	0.001772982	0.005415833	0.044327669	0.038616018	0.00888357	3.19E-19	0	0	0.002162499	0.002087719	0	0.000624199	0	0	3.97E-20	2.72E-19	0.016939823	0.064730172	0.045289551	0.001315962	0.028394162	0.026232646	2.37E-21	0.001373027	0.025137135	0.030793281	0.053883104	0.15345599	0.037151337	0.136922747	0.008247002	0.145169749
GSM3612367	0.053165463	4.12E-20	0	0.148923455	0.06043553	0.012070831	2.16E-18	1.09E-19	0.012307923	0.04368592	0.002932273	0.010971581	0.01867204	0.01164744	0.025099422	0.010474529	0.047598401	0.013717823	0	0.018937696	0	2.24E-20	0.086391483	3.53E-22	0.055525197	3.05E-18	0.001691727	0.151653411	0.207579757	0.035180935	0.002891174	0.011246272	0.032545069	0	0.002405865	0.000821198	0.01146815	0.057641838	0.058206473	0.030208404	0	0	0.033562177	0.006944821	0.002747769	1.43E-18	1.18E-20	2.04E-19	4.06E-18	1.80E-19	0.008552348	0.021637193	0.049971045	0.042411454	1.06E-18	0.030346073	0.022911882	5.10E-20	2.59E-19	0	0.019239691	0.08269593	0.092531318	0.033413568	0.128323246	0.027762598	0.156085845
GSM3612368	2.79E-19	0.002354524	1.26E-18	7.78E-19	0.003992323	0	1.81E-18	0	1.05E-18	0.019430206	0.000826193	1.23E-18	0	2.28E-18	0.004669402	0.045217901	0	0.010262344	0.007234716	0	0.012318774	6.10E-20	0.039628056	0	0.123180031	0.006405911	1.31E-19	0.09907854	0.02428009	0.00048667	0.004170159	9.68E-19	1.06E-20	0	0.003781052	0.007415416	0.002874874	0	0.005570076	0.004464597	0	1.40E-18	0.146416588	0.002781489	0.00470437	0	0.001885765	0	0	0.022222686	0	3.87E-19	0.01598686	0.008656123	0	0	1.53E-18	0	0	0.141823221	0	0	0.0020945	0	0.002520701	0.068926665	0.071447366
GSM3612369	0.016383793	0.055737926	0	2.99E-18	0.014247914	7.19E-20	0	1.78E-18	4.09E-18	0.01307518	0.002016963	2.31E-18	4.79E-18	1.18E-18	0.09988256	0.068371297	2.20E-19	0.006669236	0.001478374	0.004952445	0.077169903	0	0.028039391	0	0.275215402	0.030983326	0.001725831	0.267085548	0.104179015	0.002927548	0.034212381	0.021655385	0.021647771	0.004983033	0.005060516	0.001889794	0.002107967	5.00E-18	0.025232981	0.017727785	0	3.83E-18	0.006275464	0.033226613	0.002445472	0	0.001112627	0.000937869	2.32E-18	0.007640258	8.11E-19	0	0.011809363	2.76E-20	0	0.003677047	1.97E-18	3.89E-19	0.00213673	0.17264266	5.35E-19	5.19E-19	2.50E-19	0.002061424	0.021737477	0.204061615	0.225799093
GSM3612370	0.051748977	1.60E-19	0	0.077354184	0.059452251	0.028555629	3.51E-19	0.022059814	0	0.067121852	0.012994692	0.015863864	0.030347727	1.32E-19	0.013612018	5.04E-18	0.050781261	0.117835789	0	0.006769027	0.008273046	2.08E-18	0.017444413	9.22E-20	1.00E-18	0	0	0	0.089642712	0	0.000175537	0.029883665	0.041479642	0	7.24E-19	0.00625022	1.49E-05	0.005085359	0.025727748	0.007010631	0	0	0.01117369	0.008146117	0	0	0.000354319	4.29E-19	6.32E-21	0.009466234	0.017913276	0.026055697	3.17E-18	0.023764559	4.68E-20	7.30E-18	0.035087337	2.42E-21	0	0.129679951	0.066092518	0.083928311	0.10360474	0.006036536	0.101287036	0.004136523	0.105423559
GSM3612371	0.060990677	5.93E-19	3.14E-19	0.11775998	0.028837728	0.031422544	0	0.023239927	2.12E-19	0.065541357	0.012184228	0.027835996	0.047836047	0.017534075	4.64E-05	0	0.067217467	0.134541631	0	0.003802779	0.007299269	2.11E-19	0.031098355	1.52E-18	2.23E-18	0	1.95E-19	0	0.07633381	0	9.93E-05	0.041732061	0.057117236	1.45E-18	1.82E-20	0.000465643	0.000189773	0.018926806	0.020821328	0.006381885	0.001110474	0	0.049926161	0.011706559	2.19E-19	0	0.000103022	0	0.017692793	0.011343336	0.042153025	0.056996483	3.85E-18	0.035092316	5.21E-19	7.00E-18	0.04462712	0	1.43E-18	0.097939509	0.066306962	0.131420805	0.105940388	0.020884345	0.15544934	0.003649635	0.159098975
GSM3612372	3.59E-18	5.84E-19	0	3.05E-18	0.060951859	0	1.43E-18	0	7.19E-18	2.40E-18	1.03E-18	2.92E-18	0	0	1.06E-18	1.87E-18	0.001706329	0.047179571	2.73E-18	7.26E-19	0.004892357	0	0.085355197	0	0	0	0	0.084820047	0	0.024481238	0.000304663	2.63E-18	0	1.10E-19	5.24E-20	0.00079945	3.28E-19	1.92E-18	0.003753903	7.74E-19	0	0	6.01E-18	4.78E-21	0.028158807	4.95E-18	0.001007954	0.00166114	0	0.042839774	0.004300674	1.62E-18	0	0.016690521	2.33E-18	0	0	0.001085507	0	0.166148687	4.03E-19	4.18E-20	0.057885411	4.57E-19	0.001107426	0.002446178	0.003553605
GSM3612373	1.83E-18	0.017011644	1.70E-19	0	0.039063931	1.88E-18	1.58E-18	9.03E-18	0	2.53E-18	1.18E-18	5.78E-18	0	0	0.017871354	0.029552543	0	0.021445002	0	0.008160285	0.039527644	0	0.109244045	5.87E-20	0.047994149	0	0.00191702	0.10713566	0.165149147	0.024169437	0.012313171	0.00107069	0.015043363	0.000310764	0	0.000343864	0.003701074	0	0.016859683	0.00657913	0	2.36E-18	0.058106788	0.024950324	0.017601696	1.28E-19	0.000225759	0.000284488	0	0.051708869	0.017448147	0	0.003945042	0.003172796	3.44E-18	1.95E-20	6.62E-19	0.004709877	0.001107906	0.132199606	0	0.030461061	0.030130875	8.41E-19	0.006343642	0.052266718	0.05861036
